Month,Geothermal Energy Consumed by the Residential Sector,Solar Energy Consumed by the Residential Sector,Wood Energy Consumed by the Residential Sector,Total Renewable Energy Consumed by the Residential Sector,Hydroelectric Power Consumed by the Commercial Sector,Geothermal Energy Consumed by the Commercial Sector,Solar Energy Consumed by the Commercial Sector,Wind Energy Consumed by the Commercial Sector,Wood Energy Consumed by the Commercial Sector,Waste Energy Consumed by the Commercial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Commercial Sector",Biomass Energy Consumed by the Commercial Sector,Total Renewable Energy Consumed by the Commercial Sector
2014-01-01,3.363,4.361,49.136,56.86,0.014,1.673,1.078,0.032,6.294,4.469,0.288,11.051,13.849
2014-02-01,3.038,4.63,44.381,52.049,0.012,1.511,1.166,0.026,5.664,3.457,0.273,9.394,12.109
2014-03-01,3.363,6.34,49.136,58.839,0.013,1.673,1.573,0.029,6.262,3.801,0.291,10.354,13.643
2014-04-01,3.255,6.923,47.551,57.728,0.013,1.619,1.704,0.028,5.935,3.756,0.297,9.988,13.352
2014-05-01,3.363,7.66,49.136,60.159,0.013,1.673,1.877,0.022,6.238,3.965,0.311,10.515,14.101
2014-06-01,3.255,7.742,47.551,58.547,0.011,1.619,1.872,0.032,6.169,3.935,0.305,10.409,13.944
2014-07-01,3.363,8.091,49.136,60.59,0.011,1.673,1.933,0.028,6.265,4.203,0.318,10.786,14.432
2014-08-01,3.363,8.04,49.136,60.54,0.009,1.673,1.908,0.022,6.248,4.155,0.316,10.719,14.331
2014-09-01,3.255,7.419,47.551,58.225,0.009,1.619,1.719,0.026,5.994,3.936,0.295,10.224,13.598
2014-10-01,3.363,6.877,49.136,59.376,0.008,1.673,1.552,0.037,6.181,3.8,0.319,10.301,13.571
2014-11-01,3.255,5.668,47.551,56.474,0.007,1.619,1.249,0.045,5.962,3.647,0.304,9.913,12.832
2014-12-01,3.363,5.491,49.136,57.991,0.008,1.673,1.191,0.035,6.193,3.839,0.312,10.344,13.251
2015-01-01,3.363,4.485,43.547,51.396,0.011,1.673,1.185,0.036,6.274,3.858,2.019,12.151,15.057
2015-02-01,3.038,4.913,39.333,47.284,0.009,1.511,1.294,0.032,5.691,3.392,1.907,10.99,13.836
2015-03-01,3.363,6.878,43.547,53.789,0.009,1.673,1.746,0.035,6.194,3.882,2.127,12.203,15.666
2015-04-01,3.255,7.709,42.143,53.107,0.009,1.619,1.924,0.039,5.993,3.859,2.036,11.889,15.48
2015-05-01,3.363,8.517,43.547,55.428,0.009,1.673,2.114,0.035,6.033,4.007,2.226,12.266,16.097
2015-06-01,3.255,8.638,42.143,54.036,0.012,1.619,2.097,0.028,5.944,3.931,2.177,12.052,15.807
2015-07-01,3.363,9.151,43.547,56.062,0.01,1.673,2.188,0.025,6.279,4.268,2.237,12.784,16.681
2015-08-01,3.363,9.085,43.547,55.996,0.008,1.673,2.12,0.025,6.158,4.083,2.25,12.491,16.317
2015-09-01,3.255,8.242,42.143,53.64,0.007,1.619,1.886,0.027,6.014,4.045,2.161,12.22,15.759
2015-10-01,3.363,7.444,43.547,54.355,0.01,1.673,1.664,0.038,6.148,3.776,2.178,12.102,15.487
2015-11-01,3.255,6.132,42.143,51.53,0.01,1.619,1.344,0.043,5.96,3.913,2.128,12.0,15.016
2015-12-01,3.363,5.68,43.547,52.591,0.014,1.673,1.272,0.041,6.21,4.016,2.141,12.367,15.367
2016-01-01,3.354,5.09,37.661,46.105,0.072,1.669,1.272,0.038,6.317,3.98,1.99,12.287,15.338
2016-02-01,3.138,5.996,35.231,44.365,0.061,1.561,1.492,0.042,5.897,3.614,2.032,11.544,14.7
2016-03-01,3.354,8.01,37.661,49.025,0.075,1.669,1.924,0.043,6.128,4.104,2.171,12.404,16.115
2016-04-01,3.246,9.01,36.446,48.701,0.05,1.615,2.088,0.041,6.013,3.931,2.012,11.956,15.749
2016-05-01,3.354,9.969,37.661,50.984,0.039,1.669,2.263,0.036,6.111,4.051,2.195,12.356,16.363
2016-06-01,3.246,10.276,36.446,49.968,0.043,1.615,2.305,0.031,6.104,3.992,2.195,12.291,16.285
2016-07-01,3.354,10.683,37.661,51.698,0.051,1.669,2.373,0.033,6.252,4.213,2.246,12.711,16.837
2016-08-01,3.354,10.37,37.661,51.385,0.065,1.669,2.311,0.026,6.331,4.169,2.276,12.776,16.847
2016-09-01,3.246,9.249,36.446,48.941,0.08,1.615,2.064,0.031,6.075,3.96,2.131,12.166,15.957
2016-10-01,3.354,8.272,37.661,49.287,0.073,1.669,1.828,0.04,6.193,3.905,2.165,12.262,15.873
2016-11-01,3.246,6.731,36.446,46.423,0.059,1.615,1.462,0.038,5.99,4.076,2.136,12.202,15.376
2016-12-01,3.354,6.177,37.661,47.192,0.071,1.669,1.434,0.048,6.26,4.136,2.25,12.646,15.868
2017-01-01,3.363,5.772,36.485,45.62,0.073,1.673,1.517,0.038,6.414,4.287,1.976,12.677,15.979
2017-02-01,3.038,6.441,32.954,42.433,0.067,1.511,1.672,0.037,5.748,3.792,1.835,11.375,14.663
2017-03-01,3.363,9.253,36.485,49.101,0.083,1.673,2.305,0.057,6.158,4.006,2.082,12.246,16.364
2017-04-01,3.255,10.321,35.308,48.884,0.087,1.619,2.553,0.05,5.973,3.894,2.042,11.909,16.219
2017-05-01,3.363,11.388,36.485,51.236,0.093,1.673,2.817,0.045,6.177,4.049,2.176,12.402,17.029
2017-06-01,3.255,11.744,35.308,50.307,0.083,1.619,2.85,0.036,6.005,3.955,2.175,12.135,16.723
2017-07-01,3.363,12.017,36.485,51.865,0.072,1.673,2.943,0.027,6.228,4.095,2.146,12.47,17.186
2017-08-01,3.363,11.647,36.485,51.495,0.06,1.673,2.869,0.02,6.238,4.11,2.233,12.581,17.203
2017-09-01,3.255,10.438,35.308,49.001,0.052,1.619,2.586,0.038,5.893,3.679,2.088,11.66,15.955
2017-10-01,3.363,9.334,36.485,49.183,0.044,1.673,2.295,0.051,6.268,3.678,2.163,12.109,16.171
2017-11-01,3.255,7.31,35.308,45.873,0.049,1.619,1.821,0.047,6.159,3.907,2.12,12.185,15.723
2017-12-01,3.363,6.856,36.485,46.704,0.056,1.673,1.769,0.044,6.399,4.054,2.113,12.567,16.109
2018-01-01,3.363,6.708,44.577,54.649,0.064,1.673,1.983,0.06,6.349,3.987,2.133,12.47,16.25
2018-02-01,3.038,7.326,40.263,50.627,0.066,1.511,2.169,0.053,5.784,3.709,1.815,11.308,15.106
2018-03-01,3.363,10.116,44.577,58.056,0.073,1.673,2.944,0.063,6.361,3.987,2.116,12.464,17.217
2018-04-01,3.255,11.468,43.139,57.862,0.08,1.619,3.265,0.055,6.001,3.899,1.982,11.881,16.9
2018-05-01,3.363,12.614,44.577,60.554,0.083,1.673,3.577,0.047,6.184,4.041,2.289,12.514,17.894
2018-06-01,3.255,12.84,43.139,59.234,0.072,1.619,3.634,0.047,6.1,3.921,2.161,12.182,17.554
2018-07-01,3.363,13.188,44.577,61.128,0.065,1.673,3.734,0.033,6.274,3.973,2.24,12.487,17.992
2018-08-01,3.363,12.639,44.577,60.579,0.059,1.673,3.579,0.037,6.319,4.049,2.308,12.677,18.026
2018-09-01,3.255,11.143,43.139,57.537,0.053,1.619,3.202,0.041,6.033,3.602,1.986,11.62,16.536
2018-10-01,3.363,9.996,44.577,57.937,0.048,1.673,2.818,0.052,6.189,3.868,2.189,12.245,16.836
2018-11-01,3.255,7.978,43.139,54.372,0.054,1.619,2.226,0.055,6.008,3.876,2.106,11.991,15.945
2018-12-01,3.363,7.421,44.577,55.361,0.057,1.787,2.094,0.052,6.402,4.014,2.15,12.566,16.556
2019-01-01,3.363,7.316,46.331,57.01,0.056,1.817,2.249,0.06,6.429,3.725,1.993,12.147,16.328
2019-02-01,3.038,7.941,41.847,52.826,0.051,1.65,2.421,0.053,5.804,3.25,2.013,11.066,15.24
2019-03-01,3.363,11.314,46.331,61.008,0.064,1.824,3.355,0.059,6.341,3.465,2.12,11.926,17.226
2019-04-01,3.255,12.638,44.836,60.729,0.065,1.711,3.707,0.059,6.012,3.014,2.087,11.113,16.655
2019-05-01,3.363,13.868,46.331,63.562,0.074,1.801,3.987,0.049,6.207,2.933,2.294,11.434,17.345
2019-06-01,3.255,14.126,44.836,62.217,0.062,1.735,4.031,0.042,6.017,3.289,2.233,11.539,17.408
2019-07-01,3.363,14.733,46.331,64.427,0.055,1.787,4.234,0.037,6.338,3.189,2.241,11.767,17.88
2019-08-01,3.363,14.171,46.331,63.865,0.051,1.778,4.028,0.032,6.294,3.347,2.223,11.864,17.753
2019-09-01,3.255,12.545,44.836,60.637,0.041,1.72,3.581,0.047,6.09,3.207,2.074,11.371,16.76
2019-10-01,3.363,11.06,46.331,60.754,0.037,1.803,3.163,0.059,6.297,3.179,2.258,11.734,16.796
2019-11-01,3.255,8.737,44.836,56.828,0.042,1.763,2.453,0.056,6.121,3.115,2.204,11.44,15.754
2019-12-01,3.363,7.936,46.331,57.63,0.046,1.819,2.333,0.058,6.28,3.328,2.194,11.802,16.058
2020-01-01,3.354,8.363,29.229,40.946,0.06,1.789,2.617,0.053,6.349,3.309,2.477,12.136,16.656
2020-02-01,3.138,9.507,27.343,39.988,0.062,1.701,2.97,0.055,5.936,3.042,2.274,11.252,16.041
2020-03-01,3.354,12.376,29.229,44.959,0.057,1.816,3.849,0.058,6.202,3.357,1.982,11.542,17.322
2020-04-01,3.246,13.883,28.286,45.415,0.058,1.749,4.244,0.06,5.875,3.099,1.405,10.378,16.489
2020-05-01,3.354,15.614,29.229,48.197,0.079,1.801,4.691,0.051,6.168,3.22,2.028,11.416,18.037
2020-06-01,3.246,15.617,28.286,47.149,0.075,1.73,4.678,0.051,6.078,3.051,2.338,11.467,18.001
2020-07-01,3.354,16.072,29.229,48.655,0.071,1.772,4.86,0.035,6.156,3.265,2.332,11.753,18.492
2020-08-01,3.354,15.268,29.229,47.851,0.061,1.772,4.639,0.038,6.151,3.261,2.307,11.719,18.229
2020-09-01,3.246,13.5,28.286,45.032,0.049,1.73,4.126,0.042,5.839,3.069,2.288,11.197,17.144
2020-10-01,3.354,12.056,29.229,44.639,0.049,1.8,3.598,0.041,6.066,3.096,2.197,11.359,16.847
2020-11-01,3.246,9.877,28.286,41.409,0.053,1.754,2.866,0.047,5.912,3.022,2.256,11.19,15.91
2020-12-01,3.354,9.072,29.229,41.655,0.055,1.819,2.737,0.041,6.149,3.061,2.295,11.506,16.158
2021-01-01,3.363,9.379,29.227,41.969,0.085,1.823,3.053,0.047,6.126,3.427,1.883,11.436,16.444
2021-02-01,3.038,9.991,26.398,39.427,0.074,1.646,3.293,0.043,5.679,2.895,1.77,10.343,15.399
2021-03-01,3.363,14.267,29.227,46.857,0.077,1.732,4.545,0.066,6.115,3.319,2.226,11.659,18.079
2021-04-01,3.255,15.856,28.284,47.394,0.073,1.746,5.041,0.056,5.854,3.224,2.102,11.18,18.097
2021-05-01,3.363,17.477,29.227,50.067,0.079,1.847,5.46,0.048,6.002,3.149,2.376,11.527,18.96
2021-06-01,3.255,17.626,28.284,49.164,0.082,1.757,5.51,0.039,6.017,3.22,2.329,11.565,18.953
2021-07-01,3.363,17.831,29.227,50.421,0.077,1.807,5.677,0.028,6.251,3.52,2.396,12.167,19.757
2021-08-01,3.363,16.812,29.227,49.402,0.073,1.815,5.456,0.04,6.257,3.487,2.325,12.068,19.452
2021-09-01,3.255,14.869,28.284,46.408,0.063,1.765,4.872,0.046,6.049,3.363,2.196,11.608,18.355
2021-10-01,3.363,12.992,29.227,45.582,0.059,1.838,4.229,0.05,6.125,3.113,2.426,11.664,17.84
2021-11-01,3.255,11.421,28.284,42.959,0.062,1.769,3.355,0.057,5.927,3.218,2.306,11.451,16.693
2021-12-01,3.363,10.314,29.227,42.904,0.076,1.867,3.152,0.054,6.233,3.373,2.288,11.894,17.043
2022-01-01,3.363,10.858,35.882,50.103,0.082,1.673,3.576,0.06,6.217,6.27,2.451,14.938,20.33
2022-02-01,3.038,11.975,32.41,47.423,0.073,1.511,3.952,0.059,5.644,5.822,2.284,13.751,19.345
2022-03-01,3.363,16.516,35.882,55.761,0.083,1.673,5.379,0.064,6.13,6.111,2.708,14.949,22.148
2022-04-01,3.255,18.394,34.725,56.374,0.07,1.619,5.896,0.066,5.889,6.111,2.526,14.526,22.177
2022-05-01,3.363,20.27,35.882,59.516,0.089,1.673,6.437,0.054,6.217,6.279,2.744,15.241,23.494
2022-06-01,3.255,20.23,34.725,58.209,0.093,1.619,6.459,0.044,6.14,6.413,2.735,15.288,23.502
2022-07-01,3.363,20.862,35.882,60.107,0.089,1.673,6.707,0.031,6.279,6.54,2.652,15.471,23.972
2022-08-01,3.363,20.142,35.882,59.388,0.076,1.673,6.383,0.025,6.378,6.441,2.809,15.628,23.785
2022-09-01,3.255,18.043,34.725,56.022,0.062,1.619,5.692,0.033,5.924,6.204,2.541,14.67,22.075
2022-10-01,3.363,16.595,35.882,55.84,0.052,1.673,4.896,0.043,6.024,6.352,2.778,15.154,21.819
2022-11-01,3.255,13.46,34.725,51.44,0.061,1.619,3.841,0.06,5.967,6.367,2.668,15.001,20.583
2022-12-01,3.363,12.314,35.882,51.559,0.068,1.673,3.538,0.051,6.166,6.149,2.612,14.928,20.258
2023-01-01,3.363,12.487,38.247,54.096,0.098,1.673,3.914,0.044,6.157,6.063,2.571,14.791,20.52
2023-02-01,3.038,13.763,34.545,51.346,0.087,1.511,4.34,0.052,5.478,5.48,2.299,13.257,19.247
2023-03-01,3.363,18.798,38.247,60.408,0.103,1.673,5.907,0.054,6.111,5.767,2.745,14.624,22.361
2023-04-01,3.255,21.262,37.013,61.53,0.101,1.619,6.56,0.055,5.853,5.62,2.556,14.029,22.364
2023-05-01,3.363,23.993,38.247,65.603,0.089,1.673,7.147,0.043,5.938,6.146,2.754,14.838,23.79
2023-06-01,3.255,23.451,37.013,63.718,0.066,1.619,7.087,0.025,5.967,6.122,2.756,14.845,23.642
2023-07-01,3.363,24.497,38.247,66.107,0.081,1.673,7.357,0.014,6.02,6.401,2.697,15.118,24.244
2023-08-01,3.363,23.907,38.247,65.517,0.082,1.673,7.07,0.022,6.139,6.359,2.851,15.349,24.195
2023-09-01,3.255,20.897,37.013,61.164,0.062,1.619,6.309,0.024,5.983,5.888,2.57,14.441,22.455
2023-10-01,3.363,19.562,38.247,61.172,0.079,1.673,5.473,0.032,6.079,5.992,2.832,14.903,22.16
2023-11-01,3.255,16.077,37.013,56.345,0.073,1.619,4.305,0.036,5.88,6.113,2.665,14.658,20.692
2023-12-01,3.363,14.5,38.247,56.11,0.078,1.673,4.021,0.042,6.147,6.53,2.652,15.329,21.143
2024-01-01,3.354,14.805,34.065,52.224,0.094,1.669,4.404,0.037,6.201,6.222,2.441,14.864,21.067
2024-02-01,3.138,16.591,31.867,51.596,Not Meaningful,1.561,5.054,0.037,5.616,5.637,2.48,13.733,20.469
2024-03-01,3.354,21.989,34.065,59.408,0.093,1.669,6.623,0.048,5.915,5.751,2.663,14.329,22.762
2024-04-01,3.246,24.494,32.966,60.706,0.077,1.615,7.3,0.058,5.703,5.595,2.45,13.749,22.799
2024-05-01,3.354,26.784,34.065,64.203,Not Meaningful,1.669,8.058,0.049,5.997,5.931,2.914,14.843,24.712
2024-06-01,3.246,26.721,32.966,62.933,0.101,1.615,8.065,0.048,5.918,5.713,2.616,14.247,24.075
2024-07-01,3.354,27.296,34.065,64.715,Not Meaningful,1.669,8.334,0.038,6.246,5.987,2.816,15.049,25.185
2024-08-01,3.354,26.275,34.065,63.694,0.089,1.669,8.001,0.033,6.062,5.999,2.806,14.867,24.659
2024-09-01,3.246,23.3,32.966,59.512,0.063,1.615,7.158,0.031,5.945,5.27,2.641,13.855,22.722
