Month,"Coal Commercial Sector, Net Summer Capacity","Petroleum Commercial Sector, Net Summer Capacity","Natural Gas Commercial Sector, Net Summer Capacity","Fossil Fuels Commercial Sector, Net Summer Capacity","Nuclear Commercial Sector, Net Summer Capacity","Hydroelectric Pumped Storage Commercial Sector, Net Summer Capacity","Conventional Hydroelectric Power Commercial Sector, Net Summer Capacity","Wood Commercial Sector, Net Summer Capacity","Waste Commercial Sector, Net Summer Capacity","Geothermal Commercial Sector, Net Summer Capacity ","Solar Commercial Sector, Net Summer Capacity","Wind Commercial Sector, Net Summer Capacity","Renewable Energy Commercial Sector, Net Summer Capacity ","Battery Storage Commercial Sector, Net Summer Capacity","Total Commercial Sector, Net Summer Capacity"
2008-10-01,0.428,0.35,1.059,1.842,No Data Reported,No Data Reported,0.022,0.008,0.435,No Data Reported,0,No Data Reported,0.464,No Data Reported,2.309
2008-11-01,0.428,0.352,1.059,1.843,No Data Reported,No Data Reported,0.022,0.008,0.436,No Data Reported,0,No Data Reported,0.466,No Data Reported,2.312
2008-12-01,0.428,0.352,1.059,1.843,No Data Reported,No Data Reported,0.022,0.008,0.436,No Data Reported,0,No Data Reported,0.466,No Data Reported,2.312
2009-01-01,0.425,0.345,1.075,1.849,No Data Reported,No Data Reported,0.022,0.008,0.477,No Data Reported,0,No Data Reported,0.506,No Data Reported,2.358
2009-02-01,0.425,0.345,1.073,1.847,No Data Reported,No Data Reported,0.022,0.008,0.478,No Data Reported,0,No Data Reported,0.507,No Data Reported,2.356
2009-03-01,0.424,0.345,1.073,1.846,No Data Reported,No Data Reported,0.022,0.008,0.478,No Data Reported,0,No Data Reported,0.507,No Data Reported,2.355
2009-04-01,0.424,0.345,1.073,1.846,No Data Reported,No Data Reported,0.022,0.008,0.478,No Data Reported,0,No Data Reported,0.508,No Data Reported,2.356
2009-05-01,0.424,0.348,1.071,1.848,No Data Reported,No Data Reported,0.022,0.008,0.478,No Data Reported,0,No Data Reported,0.508,No Data Reported,2.358
2009-06-01,0.424,0.348,1.071,1.848,No Data Reported,No Data Reported,0.022,0.008,0.478,No Data Reported,0,No Data Reported,0.508,No Data Reported,2.358
2009-07-01,0.424,0.349,1.071,1.849,No Data Reported,No Data Reported,0.022,0.008,0.48,No Data Reported,0,No Data Reported,0.509,No Data Reported,2.361
2009-08-01,0.424,0.347,1.071,1.846,No Data Reported,No Data Reported,0.022,0.008,0.48,No Data Reported,0,No Data Reported,0.509,No Data Reported,2.358
2009-09-01,0.424,0.347,1.069,1.844,No Data Reported,No Data Reported,0.022,0.008,0.48,No Data Reported,0,No Data Reported,0.509,No Data Reported,2.356
2009-10-01,0.424,0.348,1.072,1.849,No Data Reported,No Data Reported,0.022,0.008,0.48,No Data Reported,0,No Data Reported,0.509,No Data Reported,2.361
2009-11-01,0.424,0.348,1.072,1.849,No Data Reported,No Data Reported,0.022,0.008,0.48,No Data Reported,0,0.001,0.51,No Data Reported,2.362
2009-12-01,0.424,0.348,1.105,1.881,No Data Reported,No Data Reported,0.022,0.008,0.471,No Data Reported,0,0.001,0.502,No Data Reported,2.386
2010-01-01,0.418,0.363,1.092,1.877,No Data Reported,No Data Reported,0.022,0.008,0.488,No Data Reported,0.002,0.01,0.529,No Data Reported,2.411
2010-02-01,0.418,0.363,1.092,1.877,No Data Reported,No Data Reported,0.022,0.008,0.488,No Data Reported,0.002,0.01,0.529,No Data Reported,2.41
2010-03-01,0.418,0.362,1.125,1.91,No Data Reported,No Data Reported,0.022,0.008,0.488,No Data Reported,0.002,0.011,0.53,No Data Reported,2.444
2010-04-01,0.418,0.362,1.125,1.91,No Data Reported,No Data Reported,0.022,0.008,0.488,No Data Reported,0.002,0.011,0.53,No Data Reported,2.444
2010-05-01,0.418,0.363,1.161,1.947,No Data Reported,No Data Reported,0.022,0.008,0.492,No Data Reported,0.002,0.011,0.534,No Data Reported,2.485
2010-06-01,0.418,0.363,1.193,1.979,No Data Reported,No Data Reported,0.022,0.008,0.492,No Data Reported,0.003,0.011,0.535,No Data Reported,2.519
2010-07-01,0.418,0.363,1.192,1.978,No Data Reported,No Data Reported,0.022,0.008,0.496,No Data Reported,0.003,0.011,0.539,No Data Reported,2.521
2010-08-01,0.418,0.363,1.192,1.978,No Data Reported,No Data Reported,0.022,0.008,0.496,No Data Reported,0.003,0.011,0.539,No Data Reported,2.521
2010-09-01,0.418,0.363,1.24,2.026,No Data Reported,No Data Reported,0.022,0.008,0.496,No Data Reported,0.003,0.011,0.539,No Data Reported,2.569
2010-10-01,0.418,0.368,1.238,2.029,No Data Reported,No Data Reported,0.022,0.008,0.496,No Data Reported,0.004,0.011,0.54,No Data Reported,2.573
2010-11-01,0.418,0.368,1.142,1.933,No Data Reported,No Data Reported,0.022,0.008,0.496,No Data Reported,0.004,0.011,0.54,No Data Reported,2.477
2010-12-01,0.418,0.368,1.153,1.944,No Data Reported,No Data Reported,0.022,0.008,0.496,No Data Reported,0.006,0.011,0.541,No Data Reported,2.49
2011-01-01,0.432,0.38,1.235,2.048,No Data Reported,No Data Reported,0.017,0.008,0.597,No Data Reported,0.045,0.017,0.684,No Data Reported,2.735
2011-02-01,0.432,0.38,1.235,2.048,No Data Reported,No Data Reported,0.017,0.008,0.597,No Data Reported,0.045,0.017,0.684,No Data Reported,2.735
2011-03-01,0.432,0.382,1.271,2.086,No Data Reported,No Data Reported,0.017,0.008,0.597,No Data Reported,0.046,0.017,0.685,No Data Reported,2.775
2011-04-01,0.432,0.384,1.271,2.088,No Data Reported,No Data Reported,0.017,0.008,0.597,No Data Reported,0.046,0.017,0.685,No Data Reported,2.778
2011-05-01,0.432,0.384,1.27,2.086,No Data Reported,No Data Reported,0.017,0.008,0.597,No Data Reported,0.047,0.017,0.686,No Data Reported,2.776
2011-06-01,0.432,0.384,1.27,2.086,No Data Reported,No Data Reported,0.017,0.008,0.601,No Data Reported,0.049,0.017,0.691,No Data Reported,2.782
2011-07-01,0.432,0.386,1.27,2.088,No Data Reported,No Data Reported,0.017,0.008,0.601,No Data Reported,0.052,0.017,0.694,No Data Reported,2.786
2011-08-01,0.432,0.39,1.269,2.092,No Data Reported,No Data Reported,0.017,0.008,0.6,No Data Reported,0.052,0.017,0.694,No Data Reported,2.79
2011-09-01,0.432,0.39,1.269,2.092,No Data Reported,No Data Reported,0.017,0.008,0.6,No Data Reported,0.052,0.02,0.697,No Data Reported,2.793
2011-10-01,0.432,0.39,1.27,2.092,No Data Reported,No Data Reported,0.017,0.008,0.598,No Data Reported,0.053,0.024,0.7,No Data Reported,2.796
2011-11-01,0.432,0.39,1.27,2.092,No Data Reported,No Data Reported,0.017,0.008,0.598,No Data Reported,0.053,0.024,0.7,No Data Reported,2.796
2011-12-01,0.432,0.394,1.27,2.096,No Data Reported,No Data Reported,0.017,0.008,0.598,No Data Reported,0.053,0.024,0.7,No Data Reported,2.799
2012-01-01,0.436,0.442,1.535,2.413,No Data Reported,No Data Reported,0.018,0.008,0.625,No Data Reported,0.074,0.028,0.752,No Data Reported,3.169
2012-02-01,0.436,0.442,1.535,2.413,No Data Reported,No Data Reported,0.018,0.008,0.625,No Data Reported,0.075,0.029,0.754,No Data Reported,3.171
2012-03-01,0.436,0.442,1.535,2.413,No Data Reported,No Data Reported,0.018,0.008,0.625,No Data Reported,0.076,0.029,0.755,No Data Reported,3.172
2012-04-01,0.436,0.442,1.536,2.414,No Data Reported,No Data Reported,0.018,0.008,0.625,No Data Reported,0.078,0.029,0.757,No Data Reported,3.176
2012-05-01,0.436,0.442,1.536,2.414,No Data Reported,No Data Reported,0.018,0.008,0.625,No Data Reported,0.078,0.029,0.757,No Data Reported,3.176
2012-06-01,0.436,0.443,1.536,2.414,No Data Reported,No Data Reported,0.018,0.008,0.629,No Data Reported,0.079,0.029,0.763,No Data Reported,3.182
2012-07-01,0.436,0.443,1.536,2.414,No Data Reported,No Data Reported,0.018,0.008,0.629,No Data Reported,0.079,0.029,0.763,No Data Reported,3.182
2012-08-01,0.436,0.443,1.536,2.414,No Data Reported,No Data Reported,0.018,0.008,0.635,No Data Reported,0.08,0.029,0.77,No Data Reported,3.188
2012-09-01,0.436,0.443,1.536,2.414,No Data Reported,No Data Reported,0.018,0.008,0.64,No Data Reported,0.096,0.03,0.792,No Data Reported,3.21
2012-10-01,0.436,0.443,1.536,2.414,No Data Reported,No Data Reported,0.018,0.008,0.64,No Data Reported,0.096,0.03,0.792,No Data Reported,3.21
2012-11-01,0.436,0.443,1.536,2.414,No Data Reported,No Data Reported,0.018,0.008,0.64,No Data Reported,0.098,0.03,0.794,No Data Reported,3.212
2012-12-01,0.436,0.443,1.545,2.423,No Data Reported,No Data Reported,0.018,0.008,0.64,No Data Reported,0.1,0.03,0.795,No Data Reported,3.223
2013-01-01,0.345,0.453,1.798,2.596,No Data Reported,No Data Reported,0.018,0.008,0.669,No Data Reported,0.122,0.03,0.847,No Data Reported,3.453
2013-02-01,0.345,0.453,1.804,2.602,No Data Reported,No Data Reported,0.018,0.008,0.697,No Data Reported,0.147,0.03,0.9,No Data Reported,3.512
2013-03-01,0.342,0.453,1.804,2.599,No Data Reported,No Data Reported,0.018,0.008,0.704,No Data Reported,0.154,0.03,0.914,No Data Reported,3.522
2013-04-01,0.342,0.456,1.8,2.597,No Data Reported,No Data Reported,0.018,0.008,0.709,No Data Reported,0.159,0.03,0.924,No Data Reported,3.53
2013-05-01,0.342,0.456,1.8,2.597,No Data Reported,No Data Reported,0.018,0.008,0.709,No Data Reported,0.159,0.03,0.924,No Data Reported,3.53
2013-06-01,0.342,0.456,1.804,2.602,No Data Reported,No Data Reported,0.018,0.008,0.708,No Data Reported,0.16,0.03,0.924,No Data Reported,3.535
2013-07-01,0.342,0.456,1.79,2.587,No Data Reported,No Data Reported,0.018,0.008,0.708,No Data Reported,0.161,0.03,0.925,No Data Reported,3.522
2013-08-01,0.342,0.456,1.79,2.587,No Data Reported,No Data Reported,0.018,0.008,0.71,No Data Reported,0.162,0.03,0.928,No Data Reported,3.524
2013-09-01,0.342,0.456,1.79,2.588,No Data Reported,No Data Reported,0.018,0.008,0.705,No Data Reported,0.171,0.03,0.931,No Data Reported,3.528
2013-10-01,0.342,0.456,1.79,2.588,No Data Reported,No Data Reported,0.018,0.008,0.705,No Data Reported,0.19,0.03,0.951,No Data Reported,3.548
2013-11-01,0.342,0.456,1.783,2.58,No Data Reported,No Data Reported,0.018,0.008,0.704,No Data Reported,0.193,0.033,0.957,No Data Reported,3.546
2013-12-01,0.342,0.456,1.779,2.577,No Data Reported,No Data Reported,0.018,0.008,0.713,No Data Reported,0.193,0.033,0.965,No Data Reported,3.551
2014-01-01,0.301,0.459,1.803,2.563,No Data Reported,No Data Reported,0.027,0.065,0.718,No Data Reported,0.204,0.039,1.052,No Data Reported,3.631
2014-02-01,0.301,0.464,1.828,2.592,No Data Reported,No Data Reported,0.027,0.065,0.718,No Data Reported,0.204,0.039,1.052,No Data Reported,3.66
2014-03-01,0.297,0.464,1.828,2.588,No Data Reported,No Data Reported,0.027,0.065,0.722,No Data Reported,0.204,0.039,1.056,No Data Reported,3.66
2014-04-01,0.297,0.464,1.828,2.588,No Data Reported,No Data Reported,0.027,0.065,0.722,No Data Reported,0.204,0.039,1.056,No Data Reported,3.66
2014-05-01,0.297,0.464,1.829,2.589,No Data Reported,No Data Reported,0.027,0.065,0.725,No Data Reported,0.214,0.039,1.07,No Data Reported,3.674
2014-06-01,0.297,0.464,1.836,2.596,No Data Reported,No Data Reported,0.027,0.065,0.725,No Data Reported,0.214,0.051,1.081,No Data Reported,3.693
2014-07-01,0.297,0.464,1.834,2.594,No Data Reported,No Data Reported,0.027,0.065,0.725,No Data Reported,0.214,0.052,1.082,No Data Reported,3.692
2014-08-01,0.297,0.464,1.834,2.594,No Data Reported,No Data Reported,0.027,0.065,0.725,No Data Reported,0.214,0.052,1.082,No Data Reported,3.692
2014-09-01,0.297,0.464,1.834,2.594,No Data Reported,No Data Reported,0.027,0.065,0.725,No Data Reported,0.214,0.052,1.082,No Data Reported,3.692
2014-10-01,0.297,0.464,1.833,2.593,No Data Reported,No Data Reported,0.027,0.065,0.724,No Data Reported,0.223,0.052,1.091,No Data Reported,3.699
2014-11-01,0.29,0.464,1.833,2.586,No Data Reported,No Data Reported,0.027,0.065,0.726,No Data Reported,0.223,0.052,1.094,No Data Reported,3.695
2014-12-01,0.29,0.464,1.833,2.586,No Data Reported,No Data Reported,0.027,0.065,0.726,No Data Reported,0.223,0.052,1.094,No Data Reported,3.695
2015-01-01,0.228,0.48,1.901,2.608,No Data Reported,No Data Reported,0.027,0.065,0.729,No Data Reported,0.231,0.055,1.107,No Data Reported,3.719
2015-02-01,0.228,0.48,1.901,2.608,No Data Reported,No Data Reported,0.027,0.065,0.729,No Data Reported,0.231,0.055,1.107,No Data Reported,3.719
2015-03-01,0.227,0.48,1.901,2.608,No Data Reported,No Data Reported,0.027,0.065,0.729,No Data Reported,0.244,0.055,1.12,No Data Reported,3.731
2015-04-01,0.227,0.48,1.903,2.61,No Data Reported,No Data Reported,0.027,0.065,0.722,No Data Reported,0.244,0.055,1.113,No Data Reported,3.727
2015-05-01,0.227,0.476,1.903,2.606,No Data Reported,No Data Reported,0.027,0.065,0.722,No Data Reported,0.264,0.055,1.133,No Data Reported,3.743
2015-06-01,0.227,0.476,1.902,2.605,No Data Reported,No Data Reported,0.027,0.065,0.721,No Data Reported,0.264,0.055,1.132,No Data Reported,3.741
2015-07-01,0.227,0.476,1.906,2.609,No Data Reported,No Data Reported,0.027,0.065,0.721,No Data Reported,0.264,0.055,1.132,No Data Reported,3.746
2015-08-01,0.227,0.476,1.919,2.622,No Data Reported,No Data Reported,0.027,0.065,0.721,No Data Reported,0.264,0.055,1.132,No Data Reported,3.758
2015-09-01,0.227,0.466,1.919,2.612,No Data Reported,No Data Reported,0.027,0.065,0.724,No Data Reported,0.265,0.055,1.136,No Data Reported,3.752
2015-10-01,0.227,0.466,1.927,2.62,No Data Reported,No Data Reported,0.027,0.065,0.724,No Data Reported,0.265,0.055,1.136,No Data Reported,3.76
2015-11-01,0.227,0.466,1.932,2.625,No Data Reported,No Data Reported,0.027,0.065,0.724,No Data Reported,0.265,0.055,1.136,No Data Reported,3.765
2015-12-01,0.227,0.466,1.933,2.625,No Data Reported,No Data Reported,0.027,0.065,0.724,No Data Reported,0.282,0.055,1.153,0.003,3.785
2016-01-01,0.202,0.516,1.978,2.696,No Data Reported,No Data Reported,0.073,0.067,0.719,No Data Reported,0.29,0.057,1.207,0.003,3.909
2016-02-01,0.202,0.516,1.983,2.701,No Data Reported,No Data Reported,0.073,0.067,0.719,No Data Reported,0.29,0.057,1.207,0.003,3.915
2016-03-01,0.202,0.516,1.979,2.697,No Data Reported,No Data Reported,0.073,0.067,0.718,No Data Reported,0.29,0.057,1.206,0.003,3.909
